Tanzania	Kenya	Uganda
1850528.375	229418.453125	1731383.5
1824326.5	238619.703125	1702750.75
1834102.0	243700.234375	1770558.25
1848170.5	247826.09375	1846419.75
1872049.125	250437.546875	1915411.875
1934689.375	248474.09375	1950092.5
1993726.125	241396.078125	1982874.125
1977643.875	230733.5625	2015586.375
2013816.375	223779.0625	2117052.25
2022119.375	221832.765625	2305793.0
2038160.875	222578.484375	2444352.25
2074972.625	224249.46875	2532760.0
2058044.375	216893.0	2609315.25
2100955.5	218380.25	2786613.0
2145615.25	215758.53125	2836183.75
2177538.75	207991.578125	2869601.5
2217282.0	212077.515625	3012885.5
2352302.75	205346.734375	3143955.25
2417296.25	203903.390625	3203092.25
2519979.5	206322.359375	3205914.25
2607697.5	213152.75	3437037.0
2700997.75	221699.484375	3555073.0
2805245.0	229670.59375	3717635.0
2873547.25	224283.625	3971049.0
2925610.75	223850.734375	4121378.25
2971890.0	233943.890625	4303029.5
3111927.5	242232.5	4405998.0
3180691.75	245299.328125	4347089.5
3312852.75	251548.34375	4343053.0
3458366.25	255467.734375	4400128.5
3573322.5	263548.5	4471693.0
